accel x,accel y,accel z,freefall,colision,Motion,Time_of_use,date,Time
9.7281968,-0.8237586,0.1176798,False,False,False,0:00:00,2021-11-16,20:59:56.015898
9.7674234,-0.8629851999999999,0.0784532,False,False,False,0:00:00,2021-11-16,20:59:54.923023
9.7281968,-0.8237586,0.1176798,False,False,False,0:00:00,2021-11-16,20:59:53.841238
9.7674234,-0.8629851999999999,0.1569064,False,False,False,0:00:00,2021-11-16,20:59:52.746833
9.80665,-0.8237586,0.1569064,False,False,False,0:00:10.945429,2021-11-16,20:59:51.672759
holder
9.7281968,-0.784532,0.1176798,False,False,False,0:00:00,2021-11-16,20:59:50.551941
9.7674234,-0.784532,0.1176798,False,False,False,0:00:00,2021-11-16,20:59:49.479248
9.7674234,-0.8629851999999999,0.1176798,False,False,False,0:00:00,2021-11-16,20:59:48.373073
9.80665,-0.9022117999999999,0.0784532,False,False,False,0:00:00,2021-11-16,20:59:47.273065
9.7281968,-0.784532,0.1569064,False,False,False,0:00:00,2021-11-16,20:59:46.168248
9.80665,-0.8629851999999999,0.196133,False,False,False,0:00:00,2021-11-16,20:59:45.052038
9.7674234,-0.8629851999999999,0.1569064,False,False,False,0:00:00,2021-11-16,20:59:43.950331
9.7674234,-0.8629851999999999,0.1569064,False,False,False,0:00:00,2021-11-16,20:59:42.872303
9.80665,-0.8237586,0.1569064,False,False,False,0:00:00,2021-11-16,20:59:41.810999
9.7674234,-0.8629851999999999,0.1176798,False,False,False,0:00:00,2021-11-16,20:59:40.728161
9.6889702,-0.8237586,0.1569064,False,False,False,0:00:10.944089,2021-11-16,20:59:39.632162
holder
9.7674234,-0.8629851999999999,0.1569064,False,False,False,0:00:00,2021-11-16,20:59:38.519137
9.7674234,-0.8237586,0.0784532,False,False,False,0:00:00,2021-11-16,20:59:37.452333
9.7674234,-0.8629851999999999,0.1569064,False,False,False,0:00:00,2021-11-16,20:59:36.376814
9.7674234,-0.8237586,0.1176798,False,False,False,0:00:00,2021-11-16,20:59:35.262893
9.7674234,-0.784532,0.1569064,False,False,False,0:00:00,2021-11-16,20:59:34.181428
9.7674234,-0.8237586,0.1569064,False,False,False,0:00:00,2021-11-16,20:59:33.111456
9.7674234,-0.8237586,0.1569064,False,False,False,0:00:00,2021-11-16,20:59:31.980697
9.7674234,-0.8629851999999999,0.1176798,False,False,False,0:00:00,2021-11-16,20:59:30.872204
9.7281968,-0.8237586,0.1569064,False,False,False,0:00:00,2021-11-16,20:59:29.776017
9.80665,-0.8237586,0.1176798,False,False,False,0:00:00,2021-11-16,20:59:28.679568
9.7674234,-0.784532,0.1569064,False,False,False,0:00:00,2021-11-16,20:59:27.580716
holder
9.7674234,-0.8237586,0.1569064,False,False,False,0:00:00,2021-11-16,20:59:26.456520
9.7674234,-0.8629851999999999,0.1176798,False,False,False,0:00:00,2021-11-16,20:59:25.393476
9.7674234,-0.784532,0.1176798,False,False,False,0:00:00,2021-11-16,20:59:24.318383
9.7281968,-0.9022117999999999,0.196133,False,False,False,0:00:00,2021-11-16,20:59:23.219765
9.80665,-0.9022117999999999,0.1176798,False,False,False,0:00:00,2021-11-16,20:59:22.102693
9.7281968,-0.8237586,0.196133,False,False,False,0:00:00,2021-11-16,20:59:21.018270
9.80665,-0.8629851999999999,0.1176798,False,False,False,0:00:00,2021-11-16,20:59:19.900335
9.80665,-0.8629851999999999,0.1569064,False,False,False,0:00:00,2021-11-16,20:59:18.799966
9.7674234,-0.784532,0.1176798,False,False,False,0:00:00,2021-11-16,20:59:17.732295
9.7281968,-0.8237586,0.1176798,False,False,False,0:00:00,2021-11-16,20:59:16.669401
9.7281968,-0.8237586,0.1569064,False,False,False,0:00:00,2021-11-16,20:59:15.573052
9.7281968,-0.8629851999999999,0.1176798,False,False,False,0:00:00,2021-11-16,20:59:14.481555
9.7674234,-0.8237586,0.1569064,False,False,False,0:00:00,2021-11-16,20:59:13.407272
9.6889702,-0.9022117999999999,0.196133,False,False,False,0:00:00,2021-11-16,20:59:12.344176
9.7674234,-0.784532,0.196133,False,False,False,0:00:00,2021-11-16,20:59:11.227333
9.80665,-0.8237586,0.1569064,False,False,False,0:00:00,2021-11-16,20:59:10.117959
9.7674234,-0.8629851999999999,0.1569064,False,False,False,0:00:00,2021-11-16,20:59:09.034199
9.7674234,-0.8237586,0.1176798,False,False,False,0:00:00,2021-11-16,20:59:07.940165
9.7674234,-0.8629851999999999,0.1569064,False,False,False,0:00:00,2021-11-16,20:59:06.805005
9.80665,-0.784532,0.1176798,False,False,False,0:00:00,2021-11-16,20:59:05.733494
9.7674234,-0.8237586,0.0784532,False,False,False,0:00:00,2021-11-16,20:59:04.671510
9.7674234,-0.8629851999999999,0.1569064,False,False,False,0:00:00,2021-11-16,20:59:03.592313
9.7281968,-0.8237586,0.1176798,False,False,False,0:00:00,2021-11-16,20:59:02.524345
9.7674234,-0.8237586,0.196133,False,False,False,0:00:00,2021-11-16,20:59:01.461431
9.80665,-0.8629851999999999,0.1569064,False,False,False,0:00:00,2021-11-16,20:59:00.381708
9.7281968,-0.784532,0.1176798,False,False,False,0:00:00,2021-11-16,20:58:59.320762
9.7674234,-0.8237586,0.1176798,False,False,False,0:00:00,2021-11-16,20:58:58.201158
9.7674234,-0.8237586,0.1176798,False,False,False,0:00:00,2021-11-16,20:58:57.085178
9.7674234,-0.9022117999999999,0.0784532,False,False,False,0:00:00,2021-11-16,20:58:55.985818
9.7674234,-0.784532,0.1176798,False,False,False,0:00:00,2021-11-16,20:58:54.923105
9.80665,-0.8237586,0.1569064,False,False,False,0:00:00,2021-11-16,20:58:53.817057
9.7281968,-0.8629851999999999,0.0392266,False,False,False,0:00:00,2021-11-16,20:58:52.735205
9.7674234,-0.8237586,0.1176798,False,False,False,0:00:00,2021-11-16,20:58:51.659633
9.7281968,-0.8629851999999999,0.1569064,False,False,False,0:00:00,2021-11-16,20:58:50.589766
9.6889702,-0.8237586,0.1569064,False,False,False,0:00:00,2021-11-16,20:58:49.449106
9.7674234,-0.8237586,0.1176798,False,False,False,0:00:00,2021-11-16,20:58:48.345372
9.7281968,-0.9022117999999999,0.1569064,False,False,False,0:00:00,2021-11-16,20:58:47.259379
9.6889702,-0.8629851999999999,0.1176798,False,False,False,0:00:00,2021-11-16,20:58:46.191656
9.7281968,-0.8629851999999999,0.1569064,False,False,False,0:00:00,2021-11-16,20:58:45.063638
9.7281968,-0.7453053999999999,0.1569064,False,False,False,0:00:00,2021-11-16,20:58:43.955395
9.7674234,-0.784532,0.1176798,False,False,False,0:00:00,2021-11-16,20:58:42.888335
9.7674234,-0.9022117999999999,0.1569064,False,False,False,0:00:00,2021-11-16,20:58:41.760757
9.7674234,-0.9022117999999999,0.1176798,False,False,False,0:00:00,2021-11-16,20:58:40.648150
9.7674234,-0.8237586,0.1176798,False,False,False,0:00:00,2021-11-16,20:58:39.571149
9.7674234,-0.784532,0.1569064,False,False,False,0:00:00,2021-11-16,20:58:38.479556
9.7281968,-0.8629851999999999,0.1569064,False,False,False,0:00:00,2021-11-16,20:58:37.292338
9.7674234,-0.8629851999999999,0.196133,False,False,False,0:00:00,2021-11-16,20:58:36.163376
9.7281968,-0.9414384,0.1176798,False,False,False,0:00:00,2021-11-16,20:58:35.076094
9.7281968,-0.8237586,0.1569064,False,False,False,0:00:00,2021-11-16,20:58:33.982153
9.80665,-0.8629851999999999,0.1176798,False,False,False,0:00:00,2021-11-16,20:58:32.921668
9.7281968,-0.8629851999999999,0.1569064,False,False,False,0:00:00,2021-11-16,20:58:31.804787
9.7281968,-0.784532,0.0784532,False,False,False,0:00:00,2021-11-16,20:58:30.738839
9.7281968,-0.8629851999999999,0.1569064,False,False,False,0:00:00,2021-11-16,20:58:29.680426
9.7674234,-0.8237586,0.1569064,False,False,False,0:00:00,2021-11-16,20:58:28.620213
9.7674234,-0.8237586,0.196133,False,False,False,0:00:00,2021-11-16,20:58:27.491057
9.7674234,-0.8629851999999999,0.1176798,False,False,False,0:00:00,2021-11-16,20:58:26.399894
9.7674234,-0.8629851999999999,0.1176798,False,False,False,0:00:00,2021-11-16,20:58:25.342238
9.7674234,-0.8629851999999999,0.1176798,False,False,False,0:00:00,2021-11-16,20:58:24.234110
9.7674234,-0.8629851999999999,0.1569064,False,False,False,0:00:00,2021-11-16,20:58:23.144791
